dataset_name,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017
Nigeria - Administrative Boundaries,0,1,0,0,0
Liberia - Aerodromes,3,3,6,6,0
Papua New Guinea - Contour Lines,0,1,7,1,0
Nepal admin level 2 administrative boundaries,12,5,9,10,0
"Philippines - Roads Network(National, Provinces: Eastern Samar and Leyte)",17,9,20,13,1
Ethiopia - Administrative Boundaries(Level 0 - 3) - eth_admbnda_adm3_csa_20160121.zip,1,0,0,0,0
Mongolia - Airports,1,1,0,0,0
"Senegal - geodatabase on admin boundaries, settlements, hydrology, transporation, land use and infrastructure",0,0,56,22,0
Senegal-healthsites - Senegal-healthsites-csv,0,0,0,3,0
Central African Republic -  Villages and Towns with administrative classification of Central African Republic,12,26,26,28,1
Kenya - Admin Level 1 Boundaries - Kenya County Pcode.xls,0,4,2,6,0
Uganda - Admin Level 1 Boundaries,9,16,15,12,0
Nepal District Headquarters,41,18,13,14,0
Afghanistan - Administrative Boundaries (levels 0 - 2),0,0,4,44,1
Gabon - Settlements,2,0,3,4,0
Turkey - Admin Level 0 (International) Boundaries,0,0,0,1,0
Kenya - Admin Level 1 - 3 Boundaries,11,21,1,0,0
Bhutan - Admin Level 0 (International) Boundaries,1,1,3,2,0
Djibouti - Settlements,1,3,2,0,0
Nigeria Admin Level Geodatabase,0,4,0,0,0
Kyrgyzstan - Population Statistics - population_of_kyrgyz_republic_2009.xls,2,0,0,1,0
South Sudan - Administrative Boundaries - ssd_admbnda_adm1_200k_ssnbs_20160801.zip,0,0,0,1,0
Senegal - Schools,4,7,7,4,1
Bangladesh - Admin Level 3 Boundaries,10,14,27,13,0
DPR Korea - Major Rivers,0,0,0,4,0
Nepal - Water Courses,0,0,1,0,0
Burkina Faso - Water Courses,8,7,7,11,0
"Nepal admin level 0 administrative boundaries - Nepal P-Code List, Administrative Levels 1 - 5",1,0,1,0,0
State of Palestine Administrative Boundaries,15,29,38,10,0
Bolivia - Admin Level 1 Boundaries,2,1,1,3,0
Turkey - Admin Level 1 Boundaries,0,0,0,1,0
Niger - Roads,7,1,9,12,0
DPR Korea - Roads,1,0,2,4,0
Settlements in Nepal,12,12,21,20,0
DR Congo - Administrative Boundaries - cd_adm0_frontiere_l.zip,0,0,1,0,0
Libya - Admin Level 1 Boundaries,0,0,4,0,0
CÃ´te d&#39;Ivoire - Administrative Boundaries - civ_admbnda_adm2_cntig_20160527.zip,0,1,0,2,0
Kenya Population projection by County 2009 - 2018 and subcounty 2015,0,0,5,0,0
Central African Republic - Bangui Admin Level 4 Boundaries,0,0,0,3,0
Cameroon - Administrative Boundaries,33,40,62,57,0
Bhutan - Admin Level 2 Boundaries,1,4,8,2,0
Djibouti - Admin Level 1 Boundaries,4,3,9,6,0
Ethiopia - Roads Network,37,48,41,46,4
Madagascar - Admin Level 3 Boundaries - mdg_polbnda_adm3_commune_ndmo_ocha_metadata.txt,2,0,0,0,0
Madagascar - Elevation Model,11,9,3,21,0
Nigeria - Roads,12,20,25,19,1
Bangladesh - Airports,2,0,0,0,0
Mali - Settlements - MLI_FeatureServices,2,3,5,4,0
Nigeria - Water Courses - NGA_river_poly_dcw.shp.zip,0,0,1,0,0
DivisiÃ³n polÃ­tica de Honduras,24,63,34,42,2
Djibouti - Population Statistics,4,3,3,5,0
Myanmar - Town locations,21,15,5,3,1
Philippines - Admin Level 4 Boundaries(Barangay),0,1,1,0,0
Turkey - Admin Level 2 Boundaries,0,0,0,1,0
"Iraq - Settlements (villages, towns, cities)",0,0,0,43,2
Honduras - Water Bodies,10,7,3,8,0
Eritrea - Settlements,10,3,23,8,0
Guinea - Population Statistics,1,0,4,8,1
Philippines - Administrative boundaries levels  1  - 3  (June2016) - PHL_adm3_PSA_pn_2016June.zip,0,0,1,1,0
Turkey - Admin Level 2 Boundaries (Archived on 4 April 2017),0,0,0,2,0
Honduras - Admin Level 1 Boundaries,2,6,1,3,0
River Network - Libya (CODs),0,0,10,0,0
Mongolia - Inland Waters and Lakes,1,1,1,2,0
Kyrgyzstan - Admin Level 1 Boundaries,6,4,3,7,0
Tajikistan - Population Statistics 2016,0,0,17,0,0
Sri Lanka - Contour Lines,22,7,13,10,0
Mozambique - Administrative boundaries (Level 2) with Population figures,0,14,0,0,0
Myanmar - Settlements,0,2,0,41,2
South Sudan - Water Bodies,17,6,20,12,0
Mauritania - Administrative Boundaries - Admin all line boundaries,1,0,0,0,0
Mongolia - Settlements (Urban Areas),4,3,2,1,0
Zimbabwe - Populated Places,13,19,8,16,0
Somalia - Administrative Boundaries (Levels 0-2) - SOM_Admbnda_Adm0_UNDP.zip,0,0,0,1,0
Libya - Admin Level 2 Boundaries,0,0,8,0,0
Bolivia - Aerodromes,0,0,1,0,0
Afghanistan - Water Courses,9,9,9,8,1
Turkey  - Administrative Boundaries Common Operational Dataset,0,45,2,0,0
Senegal - Health facilities,9,11,2,0,0
DRC - Administrative Boundaries (levels 0 - 3) - COD_AdminBoundaries_TabularData_20170407.csv,0,0,0,11,0
Senegal - Digital Elevation Model,6,14,7,5,0
Test_170228,0,1,5,0,0
Tajikistan - Population Statistics 2015,0,3,3,0,0
Benin - Administrative Boundaries - Admin2 boundary,1,0,0,1,0
Pakistan - Settlements,11,20,36,14,0
Tajikistan administrative level 2 boundaries (polygon),0,0,0,1,0
Papua New Guinea - Admin Level 0 Boundaries,2,4,6,1,0
State of Palestine - Roads,10,11,9,3,0
Namibia - Roads,4,4,0,1,0
Afghanistan - Admin Level 1 (Province) Boundaries,43,41,39,0,0
"Syrian Arab Republic - Administrative Boundaries, Populated Places - syr_admin_160927_per_gdb.zip",1,0,0,0,0
SIERRA LEONE - Admin Level 4 Boundaries,6,6,2,0,0
Thailand - Roads,12,3,6,7,0
Somalia - Administrative Boundaries (Levels 1-2),0,0,149,53,0
Chad - Settlements,0,0,1,2,1
Proyecciones de Poblacion  por  Departamento y Municipio 2014-2020,11,13,5,12,0
Uganda - Admin Level 1 Boundaries - uganda_national2006.zip,0,0,1,0,0
Central African Republic - Elevation Model,4,3,5,4,0
Uganda - Admin Level 3 Boundaries,13,23,21,10,0
Eritrea - Roads,4,2,2,7,0
Nigeria Population data by Admin 2 (LGA),39,47,58,47,2
DPR Korea - Admin Level 1 Boundaries,1,2,3,3,0
Senegal healthsites,0,0,48,14,0
Nepal admin level 3 administrative boundaries - npl_polbnda_adm3_dis_25k_50k_sdn_wgs84.shp.zip,0,0,0,2,0
Bolivia - Admin Level 2 Boundaries,3,1,1,1,0
Guinea-Bissau - Settlements,4,9,2,6,0
Niger - Administrative Boundaries,17,10,33,32,9
Mongolia - Rivers - Mongolia_River.zip,0,1,0,0,0
The former Yugoslav Republic of Macedonia -Administrative Boundaries,4,8,4,5,0
Turkey Common Operational Dataset,0,126,0,0,0
Nigeria - Population Statistics,17,34,40,34,0
Guinea geodatabase,13,8,39,33,0
Djibouti - Admin Level 3 Boundaries,9,5,10,2,0
Somalia - Admin Level 2 Boundaries,31,34,61,0,0
Bangladesh - Roads - bgd_trs_roads_lged.zip,0,1,0,1,0
"Mali admin boundaries level 1,2 and 3 including 2017 population desagregated by sexe",0,0,18,0,0
Bangladesh - Admin Level 2 Boundaries,10,29,24,13,0
Mauritania - Estimated 2012 population - MRT_adm1_Estimpop2012_ONS.xls,0,2,0,0,0
Sri Lanka - Railways,6,1,12,2,1
Laos - Admin Boundaries,0,0,10,46,0
Pakistan - Roads,7,11,22,14,0
Nigeria waterways,14,15,30,19,0
Kenya - Admin Level 4 Boundaries,11,22,1,0,0
kenya-admin-level-3-boundaries,0,0,1,0,0
Eritrea - Admin Level 2 Boundaries,7,3,9,1,0
Sudan - Admin Level 0 (International) Boundaries,4,31,11,16,1
Bangladesh - Admin Level 4 Boundaries,28,22,32,14,0
DR Congo - Limite des Zones de santÃ©,16,43,38,11,0
Togo - Settlements,8,6,6,10,0
Bangladesh - Lakes,2,0,0,0,0
Bangladesh - Rivers - bgd_watcrsa_1m_iscgm.zip,0,0,0,1,0
Equatorial Guinea - Administrative Boundaries,1,3,2,2,0
Libya - River Network,0,0,11,10,0
Nepal Watercourses - Rivers,34,24,23,44,1
SIERRA LEONE - Admin Level 3 Boundaries,10,2,3,0,0
SIERRA LEONE - Admin Level 2 Boundaries,3,3,2,0,0
Namibia - Water Rivers,1,5,0,1,0
Lao PDR - Population Statistics,17,11,18,9,0
Nepal Aerodromes,2,2,2,3,0
Madagascar - Populated Places - mdg_pplp_places_nga_ocha_metadata.txt,3,2,0,4,0
Nepal admin level 5 administrative boundaries,79,51,68,76,2
Nigeria - Independent National Electoral Commission - LGA and Wards - INEC_Admin Level Geodatabase.xls,21,12,14,2,0
"Syrian Arab Republic - Administrative Boundaries, Populated Places",354,439,517,568,19
Rwanda - Airports,1,2,1,2,0
Lebanon - Admin Level 2 Boundaries,8,16,23,15,1
Cameroon - Administrative Boundaries - CMR_ADMIN 1_SALB.ZIP,0,1,0,0,0
Bolivia - Admin Level 3 Boundaries,1,3,1,3,0
Yemen - Administrative Boundaries,29,51,115,178,6
Liberia - Admin Level 1 Boundaries,0,10,14,12,0
Madagascar - Populated Places,88,23,39,33,2
Cambodia - Admin Level 3 Boundaries,5,13,24,17,0
Yemen - Roads,11,22,38,18,0
Nepal admin level 5 administrative boundaries - npl_polbnda_adm5_wad_25k_50k_sdn_wgs84.shp.zip,2,1,0,0,0
DPR Korea - Major River Bodies and River Banks,0,2,1,3,0
Niger - Administrative Boundaries - NER_Admin2.zip,0,0,1,0,0
Bhutan - Admin Level 1 Boundaries,2,2,7,4,0
Haiti Administrative Boundary level 0 - 3 - hti_admnbnda_adm0_CNIGS2013.zip,0,1,0,0,0
Viet Nam - Roads,3,3,2,10,0
Ghana - Administrative Boundaries - Admin 2 Boundary.zip,0,0,1,1,0
Iraq - Water Courses(Rivers and Streams),23,18,36,30,2
Sao Tome And Principe - Administrative Boundaries - STP_adm1_gadm.zip,0,0,1,0,0
Senegal healthsites - Senegal-healthsites-csv,0,0,9,2,0
Kenya - Admin Level 2 Boundaries - Kenya Constituencies Pcode.xls,0,0,2,11,0
Philippines - Settlements,0,0,0,1,0
"Ethiopia - Cities, towns and villages - eth_pplp_multiplesources_20160205.zip",5,0,2,5,0
Kenya - Population Statistics,23,27,39,37,0
Zimbabwe - Admin Level 3 Boundaries,19,30,32,32,0
"Centros Poblados 2012, Colombia. - Centros Poblados DANE 2012, Colombia.",1,0,3,0,0
Bolivia - Settlements,0,0,1,0,0
Transportation - Libya (CODs),0,0,11,0,0
Haiti - Network Road,17,9,48,9,0
Egypt - Railways,0,0,1,0,0
Bangladesh - Major Roads,2,0,0,0,0
Burundi - Admin Level 3 Boundaries,0,3,11,5,0
DPR Korea - Airports,0,2,0,2,0
Cameroon - Settlements,0,1,0,0,0
Kenya administrative boundaries,0,0,0,28,2
Sri Lanka - Admin Level 4 Boundaries with Census 2012 (Polygon) - lka_pop_censusproj2022adm4_wfpocha.zip,0,1,1,0,0
Nigeria Population data by Admin 2 (LGA) - SAMPLE-Population Nigeria_StatesAnd LGAs_2007-2018.xlsx,0,3,0,0,0
Sri Lanka - Admin Level 4 Boundaries with Census 2012 (Polygon),11,20,18,12,0
Bangladesh - Admin Level 1 Boundaries - bgd_bnd_admin1_bbs.zip,0,4,1,0,0
Nigeria international boundaries - Nigeria_international_boundaries.zip,0,0,0,1,0
Nepal admin level 1 administrative boundaries,18,3,9,13,0
State of Palestine Populated Places - pse_pplp_ocha.zip,0,0,0,1,0
Mali - Population Statistics 2013 - Mali_population_subdistrict_sexe_2013.xls,3,11,10,2,0
Sri Lanka - Lagoons,1,1,7,2,0
Nigeria - Elevation Model,18,48,47,62,6
Kenya - Water Bodies (Lakes),8,12,28,13,2
Cape Verde - Administrative Boundaries,7,11,9,11,0
Nepal municipalities - administrative layer,15,12,12,4,1
Tajikistan - Population Statistics - Households,0,0,9,4,0
Philippines - Elevation Model - PHL_msk_alt.zip,2,0,0,0,0
Afghanistan - Admin Level 0 (International) Boundaries,17,11,17,0,0
Afghanistan - Roads,22,16,27,23,0
Nepal municipalities - administrative layer - npl_pplp_munhq_25K_50K_sdn_wgs84.shp.zip,1,0,0,0,0
Philippines - Elevation Model,2,1,11,1,0
South Sudan - Projected population statistics by County as at April 2014,3,3,8,8,0
Mozambique - Administrative boundaries (Level 2) Districts with Population figures,0,10,27,13,0
Sri Lanka - Admin Level 1 Boundaries with Census 2012 (Polygon),20,13,9,10,0
Papua New Guinea - Roads,4,4,6,7,0
Myanmar Hydrology - River/Streams,0,2,8,47,0
Gambia - Geodatabase,27,9,20,7,0
Bangladesh - Admin Level 4 Boundaries - bgd_bnd_admin4_bbs.zip,0,1,1,0,0
"Colombia - Roads, Railways",7,2,7,6,0
Gambia - Roads,7,1,3,1,0
Tunisia - Estimated Population Statistics per delegation - tab7_fr_delegation_estimation_01 january 2013.xls,0,0,2,1,0
Tajikistan -  Administrative Boundaries (taxonomy),0,0,0,1,1
Nepal road network,49,57,67,79,4
Guinea-Bissau - Administrative Boundaries,10,16,6,23,0
Somalia - Administrative Boundaries (Levels 1-2) - Somalia_District_Polygon.zip,0,0,0,1,0
Kenya - Roads Network,20,28,34,47,1
Laos - Populated places,0,0,0,13,1
Bangladesh - Inland Water,10,0,0,0,0
Nigeria international boundaries,15,16,21,1,0
Egypt - Water Courses,0,0,1,0,0
CÃ´te d&#39;Ivoire - Railways,0,2,4,7,0
Colombia - Admin Level 2 Boundaries - col_admbnda_adm2_igac_ocha.zip,0,0,1,0,0
Kyrgyzstan - Admin Level 2 Boundaries,10,2,5,12,0
Kenya - Airports and Airstrips,2,5,6,6,0
Pakistan - Admin Level 4 Boundaries,73,45,75,53,0
Egypt - Administrative Boundaries,0,0,2,0,0
Burundi - Admin Level 4 Boundaries,0,12,10,4,0
Thailand - Admin Level 2 Boundaries,6,4,0,0,0
Cameroon - Administrative Boundaries - CMR-ADMIN 2_SALB.ZIP,0,1,0,1,0
South Sudan - Settlement Data,12,24,41,24,0
Libya - Admin Level 3,0,0,10,0,0
Libya - Admin Level 4,0,0,17,1,0
Afghanistan - Estimated Population  2016/2017 - AFG_CSO_POP_DISTRICT_2016_2017_OCHA_20160811.xlsx,0,0,0,1,0
Mongolia - Rivers of Ulaanbaatar,2,1,1,0,0
Bangladesh - Airports and Helipads,3,10,4,10,0
Pakistan - Admin Level 0 (International) Boundaries,21,11,16,9,0
Egypt - Population Statistics,0,0,2,0,0
Kenya  - Population projection by County (2009 - 2018) and sub-county 2015,0,0,38,38,0
Kyrgyzstan - Elevation Model,11,2,2,3,0
Gambia - Settlements - GMB_ppl_ocha_1m_nga.zip,0,0,1,0,0
Liberia - Settlements,3,20,15,16,0
